# Time (s),Altitude (ft),Position East of launch (ft),Position North of launch (ft),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
0,0,0,0,0,0,0
0.01,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.03,0,0,0,0,0,0
0.04,1.6288e-4,0,0,0,0,0
0.05,0.0011597,0,0,0,0,0
0.06,0.0042863,0,0,0,0,0
0.07,0.011311,0,0,0,0,0
0.08,0.024196,0,0,0,0,0
0.09,0.044905,0,0,0,0,0
0.1,0.075403,0,0,0,0,0
0.11,0.11766,0,0,0,0,0
0.12,0.17364,0,0,0,0,0
0.13,0.24547,0,0,0,0,0
0.14,0.33536,0,0,0,0,0
0.15,0.44559,0,0,0,0,0
0.16,0.57843,0,0,0,0,0
0.17,0.73615,0,0,0,0,0
0.18,0.92102,0,0,0,0,0
0.19,1.1353,0,0,0,0,0
0.2,1.3816,0,0,0,0,0
0.21,1.6623,0,0,0,0,0
0.22,1.9801,0,0,0,0,0
0.22973,2.3276,0,0,0,0,0
0.23844,2.6722,0,0,0,0,0
0.24635,3.0145,0,0,0,0,0
0.25363,3.3551,0,0,0,0,0
0.26455,3.9143,-4.5102e-4,0,0,0.0023348,-2.7115e-7
0.28093,4.868,-0.0028986,0,0,0.0066265,4.7362e-7
0.30549,6.5597,-0.010765,0,0,0.01472,-1.8753e-6
0.33622,9.0313,-0.027602,1.6659e-7,0,0.026479,-2.0766e-6
0.36461,11.563,-0.049119,5.0107e-7,0,0.037409,-3.3691e-6
0.39488,14.461,-0.076312,1.0667e-6,0,0.047583,4.9995e-7
0.43262,18.324,-0.11159,2.024e-6,0,0.056262,2.7965e-6
0.48262,23.827,-0.1488,3.4795e-6,0,-0.058236,-1.4235e-5
0.53262,29.735,-0.15896,5.4936e-6,0,-0.048871,-1.9801e-5
0.57039,34.449,-0.13868,7.7626e-6,0,-0.034978,3.1374e-6
0.59547,37.695,-0.10853,8.6086e-6,0,-0.02282,-1.8242e-6
0.61684,40.531,-0.071109,8.8354e-6,0,-0.011319,-1.3569e-5
0.63717,43.289,-0.025152,8.2727e-6,0,-1.3763e-4,-1.0272e-5
0.65753,46.107,0.030902,6.5584e-6,0,0.010747,-1.7245e-5
0.6789,49.126,0.10018,3.2417e-6,-5.8893e-9,0.021435,-2.9975e-5
0.70242,52.519,0.18789,-2.9753e-6,-7.7032e-9,0.031508,-4.0731e-5
0.73227,56.929,0.31409,-1.6055e-5,0,0.039057,-1.1071e-4
0.77705,63.76,0.52463,-4.8e-5,-1.1183e-8,-0.035596,-4.6254e-5
0.81878,70.353,0.73126,-9.0077e-5,0,-0.01877,-2.2383e-5
0.84092,73.94,0.84155,-1.166e-4,-9.2626e-9,-0.0070611,-1.1239e-5
0.86122,77.281,0.94232,-1.4237e-4,-1.3436e-8,0.0040207,-2.604e-5
0.88211,80.772,1.0457,-1.6937e-4,-1.3579e-8,0.01448,-3.9637e-6
0.90621,84.863,1.1654,-2.0046e-4,-1.4741e-8,0.024025,-1.799e-5
0.94102,90.893,1.3423,-2.4447e-4,-1.4346e-8,0.03045,1.2753e-4
0.99102,99.797,1.6152,-3.1852e-4,-2.3624e-8,-0.024939,2.8809e-5
1.0407,108.93,1.9199,-4.4993e-4,-2.4652e-8,-0.0095807,4.5981e-5
1.0707,114.56,2.1224,-5.6818e-4,-2.2203e-8,0.0012527,5.8437e-5
1.1041,120.94,2.3644,-7.2449e-4,-1.2324e-8,0.010002,1.1665e-4
1.1541,130.72,2.7521,-9.5939e-4,-1.1075e-8,-0.010131,4.2395e-5
1.2041,140.75,3.1599,-0.0011318,-4.4327e-8,-0.00139,-2.5565e-5
1.2541,151.03,3.5838,-0.0012142,-1.7782e-8,0.0081022,-1.0006e-4
1.3041,161.53,4.0257,-0.0012236,-2.6002e-8,-0.009854,-1.4546e-4
1.3541,172.26,4.492,-0.0011878,-3.8071e-8,-0.0043218,-4.1815e-5
1.4041,183.2,4.9851,-0.0011865,-3.3014e-8,0.0019986,-1.2279e-4
1.4541,194.34,5.5028,-0.0012731,-3.5514e-8,-0.0036066,-2.1871e-4
1.5041,205.67,6.0397,-0.0013973,-2.3886e-8,0.0023393,-4.0058e-5
1.5541,217.19,6.5924,-0.0015109,0,0.0072463,-2.3055e-4
1.6041,228.88,7.1643,-0.0016038,1.9888e-8,-0.003773,-5.7674e-5
1.6541,240.58,7.7469,-0.0016759,5.8495e-8,0.0015212,9.7077e-6
1.7041,252.07,8.3219,-0.0017334,7.1419e-8,0.0030666,-3.1187e-4
1.7541,263.3,8.8823,-0.0017906,7.2698e-8,-0.0025196,-8.4848e-5
1.8041,274.28,9.4273,-0.0018729,6.7142e-8,0.0020578,-5.1067e-5
1.8541,285,9.9547,-0.0019621,7.5977e-8,0.009603,2.0366e-5
1.9041,295.49,10.466,-0.0020521,8.2594e-8,-0.009519,3.6808e-5
1.9541,305.74,10.968,-0.0021241,3.3442e-8,-1.953e-4,2.9947e-5
2.0041,315.76,11.464,-0.002163,1.7858e-8,0.0062247,3.3822e-5
2.0541,325.56,11.948,-0.0021854,0,-0.0014313,1.6797e-5
2.1041,335.15,12.417,-0.0022102,1.4096e-8,0.0052684,-4.2555e-6
2.1541,344.53,12.872,-0.0022437,1.621e-8,0.007463,-4.973e-4
2.2041,353.7,13.317,-0.0022679,0,-0.0038889,1.9263e-5
2.2541,362.68,13.755,-0.0022718,2.0013e-8,0.0032998,-2.1872e-5
2.3041,371.46,14.188,-0.0022574,9.4531e-9,0.0083382,1.4097e-5
2.3541,380.06,14.614,-0.00224,5.4252e-9,-0.009111,6.1972e-5
2.4041,388.47,15.03,-0.0022143,-8.2216e-9,-0.0057171,2.4241e-5
2.4541,396.71,15.435,-0.0021712,0,0.0037284,-3.2474e-5
2.5005,404.19,15.796,-0.0021175,2.0255e-8,0.013571,-5.9444e-6
2.5505,412.09,16.173,-0.002049,2.5554e-8,0.019678,-3.8679e-5
2.6005,419.83,16.541,-0.0019758,2.4124e-8,-0.018843,1.7954e-6
2.6505,427.4,16.904,-0.0018997,0,-0.0099883,1.6228e-6
2.6968,434.27,17.24,-0.0018324,-1.1738e-8,0.0018298,4.6914e-5
2.7414,440.76,17.564,-0.0017658,0,0.0093327,6.6917e-5
2.7914,447.89,17.922,-0.001681,-8.5328e-9,-0.0072837,3.218e-5
2.8414,454.87,18.269,-0.001587,-1.0623e-8,9.2919e-4,3.6406e-5
2.8914,461.7,18.605,-0.0014941,-1.3667e-8,0.00576,1.1476e-4
2.9414,468.38,18.933,-0.0014154,-9.0797e-9,0.0073668,1.8785e-4
2.9914,474.92,19.253,-0.0013609,-9.2423e-9,0.0089895,2.6677e-4
3.0414,481.33,19.568,-0.0013277,-9.9158e-9,-0.0087617,1.4986e-4
3.0914,487.59,19.877,-0.001306,-7.5692e-9,-0.0070372,3.6439e-5
3.1414,493.73,20.181,-0.0012844,-7.1872e-9,0.0068632,-7.1938e-5
3.1914,499.72,20.479,-0.0012583,0,0.0085136,-3.8421e-5
3.2414,505.59,20.77,-0.0012278,-5.1392e-9,0.010692,-1.3642e-4
3.2914,511.33,21.054,-0.0011887,-5.1642e-9,-0.010786,-2.4143e-4
3.3414,516.95,21.334,-0.0011381,0,-0.0085165,-5.4545e-5
3.3914,522.44,21.612,-0.0010783,0,-0.0024786,-2.4578e-5
3.4414,527.81,21.889,-0.0010148,0,0.0043107,-1.4019e-5
3.4914,533.06,22.164,-9.5153e-4,0,-0.0046839,3.9972e-6
3.5414,538.19,22.432,-8.9054e-4,-7.3991e-9,2.8047e-4,1.8172e-5
3.5914,543.2,22.693,-8.3343e-4,-1.3743e-8,0.0045744,2.8715e-5
3.6414,548.1,22.948,-7.8151e-4,-1.5445e-8,0.0058501,1.5394e-4
3.6914,552.88,23.198,-7.3526e-4,-1.6045e-8,0.006694,2.0168e-5
3.7414,557.55,23.443,-6.9338e-4,-1.6118e-8,0.0077438,2.5956e-4
3.7914,562.12,23.684,-6.5435e-4,-1.6188e-8,0.0079211,6.8693e-5
3.8414,566.57,23.922,-6.1748e-4,-1.6203e-8,0.0086326,1.5942e-5
3.8914,570.92,24.155,-5.8174e-4,-1.5907e-8,0.0094647,-3.67e-5
3.9414,575.16,24.384,-5.4486e-4,-1.6162e-8,-0.0097721,-1.2996e-4
3.9914,579.29,24.61,-5.0503e-4,-1.632e-8,-0.0092651,-7.8029e-5
4.0414,583.32,24.833,-4.6211e-4,-1.5468e-8,-0.0080388,-1.9942e-5
4.0914,587.25,25.054,-4.1682e-4,-1.6155e-8,-0.0062493,-1.5712e-5
4.1414,591.07,25.272,-3.7038e-4,-1.5953e-8,-0.0042995,-1.3071e-5
4.1914,594.8,25.49,-3.24e-4,-1.4512e-8,-0.0015205,-1.3165e-5
4.2414,598.42,25.706,-2.7894e-4,-1.5761e-8,2.5907e-4,-5.8439e-6
4.2914,601.95,25.921,-2.3605e-4,-1.6124e-8,0.001762,-3.1016e-6
4.3414,605.38,26.134,-1.952e-4,-1.5995e-8,-0.0018921,-2.0728e-6
4.3914,608.71,26.343,-1.5616e-4,-1.6028e-8,8.8608e-4,-4.6219e-6
4.4414,611.95,26.548,-1.187e-4,-1.8731e-8,0.0055289,-6.9852e-6
4.4914,615.09,26.747,-8.212e-5,-1.9047e-8,0.010582,-1.4679e-5
4.5414,618.14,26.94,-4.5631e-5,-1.7133e-8,0.01552,-1.8371e-5
4.5914,621.1,27.129,-8.3813e-6,-1.6243e-8,0.019288,-2.4435e-5
4.6414,623.97,27.313,3.0274e-5,-1.6688e-8,0.021699,-3.0981e-5
4.6914,626.74,27.494,7.0799e-5,-1.6245e-8,0.023599,-4.5395e-5
4.7414,629.42,27.671,1.1345e-4,-1.6256e-8,0.025092,-7.353e-5
4.7914,632.02,27.846,1.5861e-4,-1.5436e-8,0.026853,-5.1643e-5
4.8414,634.52,28.018,2.0655e-4,-1.5246e-8,0.029102,-7.2543e-5
4.8914,636.94,28.186,2.5744e-4,-1.5587e-8,0.030627,-9.034e-5
4.9414,639.26,28.351,3.1135e-4,-1.549e-8,0.03178,-1.2619e-4
4.9914,641.5,28.514,3.6824e-4,-1.5483e-8,0.032539,-1.5411e-4
5.0414,643.65,28.675,4.2804e-4,-1.543e-8,0.033625,-7.1881e-5
5.0914,645.72,28.833,4.906e-4,-1.5384e-8,0.034776,-1.8545e-4
5.1414,647.7,28.99,5.5562e-4,-1.5419e-8,-0.034285,-9.2605e-5
5.1914,649.59,29.145,6.2279e-4,-1.53e-8,-0.033034,-1.0735e-4
5.2414,651.4,29.299,6.9175e-4,-1.5408e-8,-0.032173,-9.7057e-5
5.2914,653.12,29.453,7.6211e-4,-1.5429e-8,-0.031372,-6.4149e-5
5.3414,654.76,29.606,8.3348e-4,-1.5233e-8,-0.03019,-1.81e-5
5.3914,656.32,29.758,9.0551e-4,-1.4994e-8,-0.028477,-8.2687e-6
5.4414,657.79,29.91,9.7791e-4,-1.5016e-8,-0.026877,3.325e-7
5.4914,659.17,30.063,0.0010505,-1.481e-8,-0.025412,7.2854e-6
5.5414,660.48,30.215,0.001123,-1.4786e-8,0.024639,6.5195e-4
5.5914,661.7,30.366,0.0011953,-1.4828e-8,0.0251,2.8991e-5
5.6414,662.84,30.516,0.0012674,-1.4724e-8,0.026422,2.1218e-5
5.6914,663.89,30.663,0.0013391,-1.4757e-8,0.028351,1.8501e-5
5.7414,664.87,30.808,0.0014104,-1.4898e-8,0.030665,1.723e-5
5.7914,665.76,30.951,0.0014811,-1.4899e-8,0.033112,1.7075e-5
5.8414,666.57,31.09,0.0015513,-1.4849e-8,0.03544,1.8532e-5
5.8914,667.31,31.226,0.0016209,-1.4898e-8,0.037564,1.6871e-5
5.9414,667.96,31.359,0.0016899,-1.4887e-8,0.039634,1.6076e-5
5.9914,668.53,31.489,0.0017583,-1.491e-8,0.041496,1.4682e-5
6.0414,669.02,31.615,0.001826,-1.4921e-8,0.043092,1.2658e-5
6.0914,669.44,31.737,0.0018931,-1.493e-8,0.043579,1.1624e-5
6.1414,669.77,31.855,0.0019595,-1.4932e-8,0.041998,1.1408e-5
6.1914,670.03,31.968,0.0020254,-1.4957e-8,0.038736,1.1068e-5
6.2414,670.21,32.077,0.0020906,-1.493e-8,0.033549,1.0314e-5
6.2914,670.3,32.182,0.0021555,-1.4958e-8,0.031466,9.7195e-6
6.3414,670.32,32.286,0.0022204,-1.496e-8,0.029706,9.5082e-6
6.3914,670.26,32.387,0.0022853,-1.4977e-8,0.027539,9.2935e-6
6.4414,670.12,32.488,0.0023503,-1.496e-8,0.024988,9.0391e-6
6.4914,669.9,32.586,0.0024153,-1.4936e-8,0.02201,8.893e-6
6.5414,669.61,32.682,0.0024803,-1.4958e-8,0.018476,8.51e-6
6.5914,669.23,32.776,0.0025453,-1.495e-8,0.014004,8.0022e-6
6.6414,668.77,32.866,0.00261,-1.496e-8,0.0088324,8.0383e-6
6.6914,668.24,32.952,0.0026746,-1.511e-8,0.0031148,7.8471e-6
6.7414,667.63,33.033,0.0027388,-1.4857e-8,-0.0034132,7.8329e-6
6.7914,666.95,33.108,0.0028027,-1.5065e-8,-0.010525,7.5795e-6
6.8414,666.18,33.177,0.002866,-1.4893e-8,-0.018423,7.7606e-6
6.8914,665.35,33.237,0.0029288,-1.5094e-8,-0.027373,8.5034e-6
6.9414,664.43,33.288,0.0029908,-1.5193e-8,-0.037198,8.3683e-6
6.9914,663.45,33.329,0.0030521,-1.449e-8,-0.047327,8.6253e-6
7.0414,662.39,33.356,0.0031126,-1.4484e-8,-0.057255,9.1856e-6
7.0914,661.26,33.37,0.0031722,-1.391e-8,-0.066617,1.0014e-5
7.1414,660.07,33.369,0.0032308,-1.3882e-8,-0.074736,1.2487e-5
7.1914,658.8,33.35,0.0032886,-1.4273e-8,-0.080747,1.2995e-5
7.2414,657.46,33.313,0.0033454,-1.443e-8,-0.084885,1.3292e-5
7.2914,656.05,33.257,0.0034016,-1.4415e-8,-0.086298,1.4414e-5
7.3414,654.58,33.178,0.0034571,-1.4415e-8,-0.083676,1.3206e-5
7.3914,653.03,33.078,0.0035122,-1.4009e-8,-0.075953,1.6733e-5
7.4414,651.42,32.953,0.0035672,-1.4861e-8,-0.062966,1.8287e-5
7.4754,650.28,32.855,0.0036048,-1.5203e-8,-0.050505,1.9592e-5
7.5031,649.34,32.766,0.0036355,-1.4488e-8,-0.038617,1.9997e-5
7.5274,648.49,32.682,0.0036626,-1.4546e-8,-0.026799,1.9902e-5
7.5489,647.73,32.602,0.0036869,-1.4656e-8,-0.015146,2.0356e-5
7.5686,647.02,32.525,0.0037093,-1.4994e-8,-0.0036025,2.0699e-5
7.5868,646.35,32.449,0.0037303,-1.5285e-8,0.0078629,2.0775e-5
7.6039,645.72,32.375,0.0037503,-1.513e-8,0.019251,2.09e-5
7.6203,645.1,32.301,0.0037697,-1.5035e-8,0.030583,1.9773e-5
7.636,644.51,32.227,0.0037885,-1.5178e-8,0.041862,1.9107e-5
7.6513,643.92,32.152,0.0038072,-1.5205e-8,0.053087,1.7591e-5
7.6664,643.34,32.076,0.0038258,-1.5224e-8,0.064136,1.737e-5
7.6816,642.74,31.996,0.0038449,-1.5273e-8,0.075141,1.6748e-5
7.6972,642.13,31.911,0.0038648,-1.5172e-8,0.086091,1.5599e-5
7.7132,641.49,31.82,0.0038858,-1.538e-8,0.097034,1.5467e-5
7.7297,640.83,31.723,0.0039078,-1.5507e-8,0.10794,1.5438e-5
7.747,640.13,31.618,0.0039313,-1.5397e-8,0.11875,1.3695e-5
7.7652,639.38,31.503,0.0039567,-1.5088e-8,0.12951,1.2559e-5
7.7846,638.57,31.374,0.0039847,-1.5399e-8,0.14016,1.213e-5
7.8059,637.67,31.226,0.0040164,-1.5028e-8,0.15061,1.0863e-5
7.8302,636.64,31.049,0.0040539,-1.4859e-8,0.16065,8.831e-6
7.8605,635.34,30.814,0.0041028,-1.5099e-8,0.16995,9.1081e-6
7.9042,633.42,30.447,0.0041785,-1.407e-8,0.17783,5.4342e-6
7.9511,631.33,30.014,0.004267,-1.3093e-8,0.17637,3.1605e-6
7.9983,629.18,29.532,0.0043647,-1.3538e-8,0.16402,2.8339e-6
8.0292,627.76,29.19,0.0044337,-1.377e-8,0.15073,3.5148e-6
8.0516,626.73,28.93,0.0044861,-1.3742e-8,0.13862,5.7589e-6
8.0705,625.85,28.699,0.0045325,-1.3984e-8,0.1269,4.287e-6
8.0877,625.05,28.484,0.0045759,-1.4066e-8,0.11537,4.2707e-6
8.1037,624.3,28.277,0.0046175,-1.4237e-8,0.10396,5.367e-6
8.1189,623.59,28.074,0.0046581,-1.4006e-8,0.092581,5.4186e-6
8.1334,622.91,27.876,0.004698,-1.3959e-8,0.081282,5.5804e-6
8.1474,622.25,27.679,0.0047376,-1.4188e-8,0.070048,5.8809e-6
8.1612,621.6,27.481,0.0047774,-1.4128e-8,0.058906,6.0545e-6
8.1749,620.95,27.279,0.0048179,-1.4138e-8,0.047829,6.3547e-6
8.1887,620.29,27.071,0.0048597,-1.399e-8,0.036797,6.611e-6
8.2027,619.63,26.854,0.0049031,-1.396e-8,0.025817,6.8041e-6
8.2171,618.94,26.628,0.0049486,-1.3635e-8,0.014906,6.465e-6
8.2321,618.23,26.387,0.004997,-1.3412e-8,0.004068,6.0135e-6
8.2478,617.48,26.127,0.0050492,-1.3341e-8,-0.0066803,5.4245e-6
8.2647,616.67,25.841,0.0051066,-1.3661e-8,-0.017192,3.9771e-6
8.2838,615.76,25.512,0.0051729,-1.2982e-8,-0.027403,3.9645e-6
8.3066,614.67,25.105,0.0052548,-1.3395e-8,-0.037096,3.0206e-6
8.3371,613.2,24.543,0.0053684,-1.2339e-8,-0.045721,1.9264e-6
8.3829,610.98,23.658,0.0055475,-1.2859e-8,-0.049006,4.7517e-6
8.4329,608.54,22.639,0.0057546,-1.4136e-8,-0.039742,1.401e-6
8.469,606.76,21.868,0.0059117,-1.2049e-8,-0.025708,5.1151e-6
8.4926,605.6,21.349,0.0060178,-1.0753e-8,-0.01344,4.2795e-6
8.5123,604.62,20.908,0.006108,-1.157e-8,-0.0016136,4.9525e-6
8.5297,603.76,20.511,0.0061894,-1.1776e-8,0.010008,5.6692e-6
8.5456,602.96,20.141,0.0062655,-1.1838e-8,0.02146,5.3042e-6
8.5607,602.21,19.786,0.0063386,-1.1692e-8,0.032711,5.2808e-6
8.5755,601.46,19.433,0.0064115,-1.1624e-8,0.043802,4.0974e-6
8.5905,600.71,19.072,0.0064861,-1.1309e-8,0.054807,4.1752e-6
8.6057,599.94,18.699,0.0065635,-1.1247e-8,0.065729,5.5403e-6
8.6215,599.14,18.306,0.006645,-1.068e-8,0.076564,6.4435e-6
8.6382,598.3,17.886,0.0067325,-1.0775e-8,0.087269,8.4981e-6
8.6541,597.49,17.48,0.0068171,-1.0617e-8,0.096574,7.9206e-6
8.674,596.48,16.963,0.0069253,-1.0058e-8,0.10695,6.8043e-6
8.697,595.3,16.354,0.0070535,-1.0478e-8,0.11689,7.3212e-6
8.7264,593.81,15.559,0.0072214,-9.325e-9,0.12581,6.934e-6
8.7705,591.56,14.328,0.0074837,-9.0668e-9,0.13061,1.3691e-6
8.8205,589.01,12.874,0.0077974,-8.3981e-9,0.12559,2.7642e-6
8.8691,586.53,11.4,0.0081197,-1.4329e-8,0.10915,3.0271e-6
8.8964,585.15,10.549,0.0083075,-1.4059e-8,0.097542,7.8807e-7
8.9216,583.88,9.744,0.0084863,-1.5721e-8,0.08596,6.9024e-7
8.9449,582.71,8.9878,0.0086553,-1.6453e-8,0.074604,0
8.9673,581.58,8.2467,0.0088219,-1.6239e-8,0.063553,1.8277e-6
8.9902,580.44,7.4782,0.0089955,-1.6408e-8,0.052746,4.0599e-6
9.0146,579.23,6.6469,0.0091842,-1.6842e-8,0.042189,4.2732e-6
9.0418,577.89,5.7034,0.0093997,-1.6105e-8,0.031975,2.7461e-6
9.0746,576.28,4.547,0.0096655,-1.6158e-8,0.022646,-6.4171e-7
9.1236,573.88,2.7695,0.010077,-1.8499e-8,0.016561,-1.1327e-7
9.1736,571.46,0.90802,0.010513,-1.8772e-8,0.021938,4.8673e-7
9.2236,569.05,-1.0021,0.010965,-1.932e-8,0.03619,-3.0404e-6
9.2592,567.35,-2.3886,0.011295,-2.1736e-8,0.047329,5.0335e-7
9.2937,565.71,-3.757,0.011623,-2.0144e-8,0.059056,5.3633e-6
9.3253,564.21,-5.0291,0.011929,-1.9846e-8,0.069436,1.0223e-5
9.3635,562.42,-6.5894,0.012308,-1.8048e-8,0.078483,9.958e-6
9.4135,560.09,-8.6717,0.012817,-1.5886e-8,0.085031,8.6149e-6
9.4635,557.78,-10.797,0.013342,-1.6485e-8,0.083549,8.9398e-6
9.5135,555.5,-12.963,0.013884,-1.6633e-8,0.076046,1.2297e-5
9.5635,553.26,-15.168,0.014442,-1.9195e-8,0.063827,1.2436e-5
9.6031,551.5,-16.942,0.014896,-1.8609e-8,0.052089,9.2077e-6
9.6391,549.93,-18.577,0.015318,-2.0204e-8,0.040533,1.0793e-5
9.6731,548.46,-20.133,0.015723,-1.9656e-8,0.030013,9.9599e-6
9.7134,546.74,-22.001,0.016214,-2.2126e-8,0.021105,1.0164e-5
9.7634,544.63,-24.346,0.016836,-2.098e-8,0.01793,1.5557e-5
9.8134,542.55,-26.721,0.017475,-2.0784e-8,0.021703,9.0785e-6
9.8634,540.5,-29.125,0.01813,-2.2561e-8,0.028637,1.0909e-5
9.9134,538.48,-31.555,0.0188,-2.0838e-8,0.037893,1.1095e-5
9.9634,536.49,-34.012,0.019487,-2.4453e-8,0.047211,7.2009e-6
10.013,534.52,-36.492,0.020189,-2.7962e-8,0.055072,9.3858e-6
10.063,532.59,-38.996,0.020907,-2.6238e-8,0.060868,7.3641e-6
10.113,530.68,-41.521,0.021641,-2.4683e-8,0.06538,9.8475e-6
10.163,528.8,-44.065,0.022392,-2.4749e-8,0.067447,1.0917e-5
10.213,526.96,-46.626,0.023161,-2.2955e-8,0.064371,1.3118e-5
10.263,525.16,-49.203,0.023945,-2.3695e-8,0.054417,7.4824e-6
10.307,523.6,-51.488,0.024651,-2.4849e-8,0.042518,5.3144e-6
10.348,522.19,-53.593,0.025308,-2.4623e-8,0.032401,1.0254e-6
10.398,520.48,-56.203,0.026134,-2.7943e-8,0.022722,2.7179e-6
10.448,518.8,-58.824,0.026974,-2.7344e-8,0.0155,1.132e-5
10.498,517.16,-61.454,0.027826,-2.674e-8,0.012708,1.1496e-5
10.548,515.54,-64.091,0.028692,-2.7324e-8,0.01552,1.384e-5
10.598,513.96,-66.735,0.029571,-2.6934e-8,0.02068,6.6758e-6
10.648,512.4,-69.385,0.030463,-2.9524e-8,0.027616,3.897e-6
10.698,510.86,-72.04,0.031367,-2.8942e-8,0.034726,1.0162e-5
10.748,509.35,-74.7,0.032283,-2.9051e-8,0.039545,7.1682e-6
10.798,507.87,-77.362,0.03321,-2.8994e-8,0.04066,3.8461e-6
10.848,506.4,-80.027,0.034147,-2.8935e-8,0.038172,3.787e-6
10.898,504.97,-82.692,0.035092,-2.9025e-8,0.034319,8.9239e-6
10.948,503.55,-85.357,0.036046,-3.0806e-8,0.029804,1.01e-5
10.998,502.16,-88.021,0.037009,-2.9211e-8,0.024733,1.1213e-5
11.048,500.79,-90.682,0.037979,-2.9167e-8,0.01949,3.8782e-6
11.098,499.45,-93.341,0.038956,-2.8896e-8,0.015204,8.3144e-6
11.148,498.12,-95.997,0.039941,-3.0035e-8,0.012991,7.3766e-6
11.198,496.81,-98.648,0.040933,-3.0258e-8,0.01234,5.216e-6
11.248,495.52,-101.3,0.041932,-3.0044e-8,0.01276,4.0026e-6
11.298,494.24,-103.94,0.042937,-2.9851e-8,0.014212,6.2504e-6
11.348,492.98,-106.57,0.043947,-3.0031e-8,0.015659,1.018e-5
11.398,491.74,-109.21,0.044963,-3.038e-8,0.01634,9.1617e-6
11.448,490.5,-111.83,0.045982,-3.0442e-8,0.016306,7.6259e-6
11.498,489.28,-114.45,0.047006,-3.0839e-8,0.015349,4.6324e-6
11.548,488.06,-117.06,0.048033,-3.1406e-8,0.013131,3.526e-6
11.598,486.86,-119.67,0.049061,-3.1566e-8,0.010341,-3.3366e-6
11.648,485.67,-122.27,0.050092,-3.1626e-8,0.0082786,-5.5878e-6
11.698,484.48,-124.86,0.051126,-3.1558e-8,0.0065828,-3.77e-6
11.748,483.3,-127.45,0.05216,-3.1759e-8,0.0043258,-1.1249e-5
11.798,482.13,-130.02,0.053193,-3.1943e-8,0.0022964,-5.473e-6
11.848,480.97,-132.59,0.054226,-3.1848e-8,8.4087e-4,-5.54e-6
11.898,479.81,-135.15,0.055257,-3.2139e-8,-3.6132e-4,-3.2482e-6
11.948,478.65,-137.71,0.056286,-3.231e-8,-9.905e-4,-5.9207e-7
11.998,477.5,-140.25,0.057314,-3.2247e-8,-0.0012382,-1.7412e-6
12.048,476.34,-142.79,0.058338,-3.2494e-8,-0.0018517,-6.7173e-7
12.098,475.19,-145.32,0.059359,-3.2473e-8,-0.0030467,-6.7754e-6
12.148,474.04,-147.85,0.060377,-3.2564e-8,-0.0038928,-1.0395e-5
12.198,472.89,-150.36,0.06139,-3.2714e-8,-0.0045629,-1.4701e-5
12.248,471.74,-152.87,0.062398,-3.2701e-8,-0.0052345,-1.6178e-5
12.298,470.59,-155.38,0.063402,-3.2651e-8,-0.0057443,-1.9377e-5
12.348,469.44,-157.87,0.064399,-3.2642e-8,-0.0055684,-2.1829e-5
12.398,468.28,-160.37,0.065391,-3.2523e-8,-0.0052362,-2.108e-5
12.448,467.12,-162.85,0.066375,-3.2407e-8,-0.0056721,-1.9766e-5
12.498,465.96,-165.33,0.067351,-3.2635e-8,-0.0068031,-1.8065e-5
12.548,464.79,-167.8,0.068317,-3.2584e-8,-0.0086214,-2.0778e-5
12.598,463.62,-170.27,0.069275,-3.2689e-8,-0.010734,-2.5482e-5
12.648,462.44,-172.73,0.070221,-3.2721e-8,-0.013035,-2.8162e-5
12.698,461.26,-175.19,0.071157,-3.2795e-8,-0.014894,-3.2744e-5
12.748,460.07,-177.64,0.072082,-3.2752e-8,-0.015598,-2.7793e-5
12.798,458.88,-180.09,0.072995,-3.2533e-8,-0.015088,-2.7933e-5
12.848,457.68,-182.53,0.073896,-3.2765e-8,-0.013048,-3.0157e-5
12.898,456.47,-184.98,0.074785,-3.2863e-8,-0.0099312,-2.5717e-5
12.948,455.26,-187.41,0.075663,-3.3207e-8,-0.006738,-2.7301e-5
12.998,454.05,-189.85,0.076528,-3.3486e-8,-0.0034059,-2.5126e-5
13.048,452.83,-192.28,0.077381,-3.2926e-8,-7.354e-5,-2.3483e-5
13.098,451.6,-194.7,0.078221,-3.3218e-8,0.002907,-2.7623e-5
13.148,450.38,-197.13,0.079048,-3.304e-8,0.0051419,-3.0404e-5
13.198,449.15,-199.55,0.079862,-3.303e-8,0.0054547,-2.6368e-5
13.248,447.91,-201.96,0.080662,-3.3268e-8,0.0041402,-2.5251e-5
13.298,446.68,-204.38,0.081447,-3.2661e-8,0.0019843,-2.7714e-5
13.348,445.44,-206.79,0.082218,-3.2334e-8,-6.1328e-4,-3.1673e-5
